task_id,severity,frontend_file,line,frontend_call,backend_file,backend_endpoint,recommended_action,notes,effort_estimate
FIX_020,CRITICAL,components/DocumentManagement.js,59,GET api/v1/admin/documents,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/documents,HIGH
FIX_021,CRITICAL,components/DocumentManagement.js,59,GET api/v1/admin/documents,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/documents,HIGH
FIX_022,CRITICAL,components/DocumentManagement.js,59,GET api/v1/admin/documents,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/documents,HIGH
FIX_023,CRITICAL,components/DocumentManagement.js,79,GET api/v1/admin/documents/search,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/documents/search,HIGH
FIX_024,CRITICAL,components/DocumentManagement.js,79,GET api/v1/admin/documents/search,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/documents/search,HIGH
FIX_025,CRITICAL,components/DocumentManagement.js,79,GET api/v1/admin/documents/search,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/documents/search,HIGH
FIX_026,CRITICAL,components/DocumentManagement.js,120,POST api/v1/admin/documents/upload,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/admin/documents/upload,HIGH
FIX_027,CRITICAL,components/DocumentManagement.js,120,POST api/v1/admin/documents/upload,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/admin/documents/upload,HIGH
FIX_028,CRITICAL,components/DocumentManagement.js,120,GET api/v1/admin/documents/upload,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/documents/upload,HIGH
FIX_029,CRITICAL,components/DocumentManagement.js,239,GET api/v1/admin/documents/upload-url,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/documents/upload-url,HIGH
FIX_030,CRITICAL,components/DocumentManagement.js,315,DELETE api/v1/admin/documents,,,create_backend_endpoint,Create missing backend endpoint: DELETE api/v1/admin/documents,HIGH
FIX_031,CRITICAL,components/DocumentManagement.js,315,DELETE api/v1/admin/documents,,,create_backend_endpoint,Create missing backend endpoint: DELETE api/v1/admin/documents,HIGH
FIX_032,CRITICAL,components/DocumentManagement.js,315,GET api/v1/admin/documents,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/documents,HIGH
FIX_033,CRITICAL,components/UserManagement.js,54,GET api/v1/admin/users,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/users,HIGH
FIX_034,CRITICAL,components/UserManagement.js,54,GET api/v1/admin/users,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/users,HIGH
FIX_035,CRITICAL,components/UserManagement.js,54,GET api/v1/admin/users,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/users,HIGH
FIX_036,CRITICAL,components/UserManagement.js,75,DELETE api/v1/admin/users,,,create_backend_endpoint,Create missing backend endpoint: DELETE api/v1/admin/users,HIGH
FIX_037,CRITICAL,components/UserManagement.js,75,DELETE api/v1/admin/users,,,create_backend_endpoint,Create missing backend endpoint: DELETE api/v1/admin/users,HIGH
FIX_038,CRITICAL,components/UserManagement.js,75,GET api/v1/admin/users,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/users,HIGH
FIX_039,CRITICAL,components/UserManagement.js,99,PATCH api/v1/admin/users,,,create_backend_endpoint,Create missing backend endpoint: PATCH api/v1/admin/users,HIGH
FIX_040,CRITICAL,components/UserManagement.js,99,PATCH api/v1/admin/users,,,create_backend_endpoint,Create missing backend endpoint: PATCH api/v1/admin/users,HIGH
FIX_041,CRITICAL,components/UserManagement.js,99,GET api/v1/admin/users,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/users,HIGH
FIX_042,CRITICAL,pages/Admin.js,40,GET api/v1/admin/dashboard,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/dashboard,HIGH
FIX_043,CRITICAL,pages/Admin.js,40,GET api/v1/admin/dashboard,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/dashboard,HIGH
FIX_044,CRITICAL,pages/Admin.js,40,GET api/v1/admin/dashboard,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/dashboard,HIGH
FIX_045,HIGH,components/LoRAManagement.js,36,GET api/v1/canary-lora/lora/status,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/status,HIGH
FIX_046,HIGH,components/LoRAManagement.js,36,GET api/v1/canary-lora/lora/status,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/status,HIGH
FIX_047,HIGH,components/LoRAManagement.js,36,GET api/v1/canary-lora/lora/status,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/status,HIGH
FIX_048,HIGH,components/LoRAManagement.js,49,GET api/v1/canary-lora/lora/quality-statistics,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/quality-statistics,HIGH
FIX_049,HIGH,components/LoRAManagement.js,49,GET api/v1/canary-lora/lora/quality-statistics,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/quality-statistics,HIGH
FIX_050,HIGH,components/LoRAManagement.js,49,GET api/v1/canary-lora/lora/quality-statistics,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/quality-statistics,HIGH
FIX_051,HIGH,components/LoRAManagement.js,63,GET api/v1/canary-lora/lora/training-batch,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/training-batch,HIGH
FIX_052,HIGH,components/LoRAManagement.js,63,GET api/v1/canary-lora/lora/training-batch,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/training-batch,HIGH
FIX_053,HIGH,components/LoRAManagement.js,63,GET api/v1/canary-lora/lora/training-batch,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/training-batch,HIGH
FIX_054,HIGH,components/LoRAManagement.js,80,GET api/v1/canary-lora/lora/priority-examples,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/priority-examples,HIGH
FIX_055,HIGH,components/LoRAManagement.js,80,GET api/v1/canary-lora/lora/priority-examples,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/priority-examples,HIGH
FIX_056,HIGH,components/LoRAManagement.js,80,GET api/v1/canary-lora/lora/priority-examples,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/priority-examples,HIGH
FIX_057,HIGH,components/LoRAManagement.js,97,GET api/v1/canary-lora/lora/export-data,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/export-data,HIGH
FIX_058,HIGH,components/LoRAManagement.js,97,GET api/v1/canary-lora/lora/export-data,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/export-data,HIGH
FIX_059,HIGH,components/LoRAManagement.js,97,GET api/v1/canary-lora/lora/export-data,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/lora/export-data,HIGH
FIX_060,HIGH,components/CanaryManagement.js,37,GET api/v1/canary-lora/canary/status,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/canary/status,HIGH
FIX_061,HIGH,components/CanaryManagement.js,37,GET api/v1/canary-lora/canary/status,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/canary/status,HIGH
FIX_062,HIGH,components/CanaryManagement.js,37,GET api/v1/canary-lora/canary/status,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/canary/status,HIGH
FIX_063,HIGH,components/CanaryManagement.js,56,POST api/v1/canary-lora/canary/deploy,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/canary-lora/canary/deploy,HIGH
FIX_064,HIGH,components/CanaryManagement.js,56,POST api/v1/canary-lora/canary/deploy,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/canary-lora/canary/deploy,HIGH
FIX_065,HIGH,components/CanaryManagement.js,56,GET api/v1/canary-lora/canary/deploy,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/canary-lora/canary/deploy,HIGH
FIX_066,HIGH,pages/LoRAManagement.js,82,POST api/v1/lora/data/collect,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/data/collect,HIGH
FIX_067,HIGH,pages/LoRAManagement.js,82,POST api/v1/lora/data/collect,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/data/collect,HIGH
FIX_068,HIGH,pages/LoRAManagement.js,82,GET api/v1/lora/data/collect,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data/collect,HIGH
FIX_069,HIGH,pages/LoRAManagement.js,151,POST api/v1/lora/training/start,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/training/start,HIGH
FIX_070,HIGH,pages/LoRAManagement.js,151,POST api/v1/lora/training/start,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/training/start,HIGH
FIX_071,HIGH,pages/LoRAManagement.js,151,GET api/v1/lora/training/start,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/training/start,HIGH
FIX_072,MEDIUM,components/FileUpload.js,81,POST api/v1/files/upload,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/files/upload,LOW
FIX_073,MEDIUM,components/FileUpload.js,81,POST api/v1/files/upload,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/files/upload,LOW
FIX_074,MEDIUM,components/TokenBalance.js,16,GET api/v1/tokens/balance,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/tokens/balance,LOW
FIX_075,MEDIUM,components/TokenBalance.js,16,GET api/v1/tokens/balance,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/tokens/balance,LOW
FIX_076,MEDIUM,components/TokenBalance.js,16,GET api/v1/tokens/balance,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/tokens/balance,LOW
FIX_077,MEDIUM,components/TwoFactorSetup.js,24,POST api/v1/{id}fa/setup,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/{id}fa/setup,LOW
FIX_078,MEDIUM,components/TwoFactorSetup.js,24,POST api/v1/{id}fa/setup,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/{id}fa/setup,LOW
FIX_079,MEDIUM,components/TwoFactorSetup.js,47,POST api/v1/{id}fa/confirm,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/{id}fa/confirm,LOW
FIX_080,MEDIUM,components/TwoFactorSetup.js,47,POST api/v1/{id}fa/confirm,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/{id}fa/confirm,LOW
FIX_081,MEDIUM,components/ChatHistory.js,86,DELETE api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_082,MEDIUM,components/ChatHistory.js,86,DELETE api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_083,MEDIUM,components/ChatHistory.js,108,PUT api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_084,MEDIUM,components/ChatHistory.js,108,PUT api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_085,MEDIUM,components/DocumentManagement.js,238,POST api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_086,MEDIUM,components/DocumentManagement.js,238,POST api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_087,MEDIUM,components/RAGSettings.js,37,GET api/v1/enhanced-rag/status,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/enhanced-rag/status,LOW
FIX_088,MEDIUM,components/RAGSettings.js,37,GET api/v1/enhanced-rag/status,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/enhanced-rag/status,LOW
FIX_089,MEDIUM,components/RAGSettings.js,37,GET api/v1/enhanced-rag/status,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/enhanced-rag/status,LOW
FIX_090,MEDIUM,components/RAGSettings.js,77,POST api/v1/enhanced-rag/generate-response,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/enhanced-rag/generate-response,LOW
FIX_091,MEDIUM,components/RAGSettings.js,77,POST api/v1/enhanced-rag/generate-response,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/enhanced-rag/generate-response,LOW
FIX_092,MEDIUM,components/RAGSettings.js,77,GET api/v1/enhanced-rag/generate-response,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/enhanced-rag/generate-response,LOW
FIX_093,MEDIUM,components/CanaryManagement.js,87,POST api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_094,MEDIUM,components/CanaryManagement.js,87,POST api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_095,MEDIUM,components/CanaryManagement.js,105,POST api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_096,MEDIUM,components/CanaryManagement.js,105,POST api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_097,MEDIUM,hooks/useServiceWorker.js,177,PUT api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_098,MEDIUM,hooks/useServiceWorker.js,198,DELETE api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_099,MEDIUM,hooks/useLazyData.js,39,GET api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_100,MEDIUM,hooks/useLazyData.js,103,DELETE api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_101,MEDIUM,pages/Chat.js,206,POST api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_102,MEDIUM,pages/Chat.js,206,POST api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_103,MEDIUM,pages/Chat.js,231,GET api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_104,MEDIUM,pages/Chat.js,231,GET api/v1/unknown,,,investigate_frontend,"Frontend call pattern unclear, needs investigation",LOW
FIX_105,MEDIUM,pages/Profile.js,29,PUT api/v1/users/me,,,fix_frontend_method,Change frontend PUT to GET for api/v1/users/me,LOW
FIX_106,MEDIUM,pages/Profile.js,29,PUT api/v1/users/me,,,fix_frontend_method,Change frontend PUT to GET for api/v1/users/me,LOW
FIX_107,MEDIUM,components/LogsViewer.js,53,GET api/v1/admin/logs/audit,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/logs/audit,HIGH
FIX_108,MEDIUM,components/LogsViewer.js,53,GET api/v1/admin/logs/audit,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/logs/audit,HIGH
FIX_109,MEDIUM,components/LogsViewer.js,53,GET api/v1/admin/logs/audit,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/logs/audit,HIGH
FIX_110,MEDIUM,components/LogsViewer.js,85,GET api/v1/admin/logs/export,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/logs/export,HIGH
FIX_111,MEDIUM,components/LogsViewer.js,85,GET api/v1/admin/logs/export,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/logs/export,HIGH
FIX_112,MEDIUM,components/LogsViewer.js,85,GET api/v1/admin/logs/export,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/admin/logs/export,HIGH
FIX_113,MEDIUM,pages/LoRAManagement.js,47,GET api/v1/lora/data/stats?days=7,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data/stats?days=7,HIGH
FIX_114,MEDIUM,pages/LoRAManagement.js,47,GET api/v1/lora/data/stats?days=7,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data/stats?days=7,HIGH
FIX_115,MEDIUM,pages/LoRAManagement.js,47,GET api/v1/lora/data/stats?days=7,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data/stats?days=7,HIGH
FIX_116,MEDIUM,pages/LoRAManagement.js,68,GET api/v1/lora/data,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data,HIGH
FIX_117,MEDIUM,pages/LoRAManagement.js,68,GET api/v1/lora/data,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data,HIGH
FIX_118,MEDIUM,pages/LoRAManagement.js,68,GET api/v1/lora/data,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data,HIGH
FIX_119,MEDIUM,pages/LoRAManagement.js,105,POST api/v1/lora/data,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/data,HIGH
FIX_120,MEDIUM,pages/LoRAManagement.js,105,POST api/v1/lora/data,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/data,HIGH
FIX_121,MEDIUM,pages/LoRAManagement.js,105,GET api/v1/lora/data,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data,HIGH
FIX_122,MEDIUM,pages/LoRAManagement.js,115,POST api/v1/lora/data,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/data,HIGH
FIX_123,MEDIUM,pages/LoRAManagement.js,115,POST api/v1/lora/data,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/data,HIGH
FIX_124,MEDIUM,pages/LoRAManagement.js,115,GET api/v1/lora/data,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data,HIGH
FIX_125,MEDIUM,pages/LoRAManagement.js,128,POST api/v1/lora/data/batch-approve,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/data/batch-approve,HIGH
FIX_126,MEDIUM,pages/LoRAManagement.js,128,POST api/v1/lora/data/batch-approve,,,create_backend_endpoint,Create missing backend endpoint: POST api/v1/lora/data/batch-approve,HIGH
FIX_127,MEDIUM,pages/LoRAManagement.js,128,GET api/v1/lora/data/batch-approve,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/lora/data/batch-approve,HIGH
FIX_128,LOW,hooks/useServiceWorker.js,120,GET api/v1/notifications/subscribe,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/notifications/subscribe,LOW
FIX_129,LOW,hooks/useServiceWorker.js,148,GET api/v1/notifications/unsubscribe,,,create_backend_endpoint,Create missing backend endpoint: GET api/v1/notifications/unsubscribe,LOW
